"method_group","slope_metric","qc_name","group1","group2","n1","n2","median1","median2","median_diff","p_value","w_statistic","iqr1","iqr2","test_note","p_adjusted"
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate","Transitional","Hothouse",18,12,-0.119701466988094,0.104205228461765,-0.22390669544986,0.0983227216603271,77,0.689375790853332,0.564823766752482,"Tested",0.122903402075409
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate","Warmhouse","Hothouse",18,12,-0.190864270465183,0.104205228461765,-0.295069498926948,0.130966416723683,81,0.395829415814022,0.564823766752482,"Tested",0.145518240804092
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate","Transitional","Warmhouse",18,18,-0.119701466988094,-0.190864270465183,0.0711628034770886,0.430927898159008,156,0.689375790853332,0.395829415814022,"Tested",0.430927898159008
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate_polar","Coolhouse","Warmhouse",12,11,-0.342951558193752,-0.173757822226257,-0.169193735967495,0.00752742407136117,26,0.286159157206545,0.317013352684483,"Tested",0.0752742407136117
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate_polar","Coolhouse","Hothouse",12,5,-0.342951558193752,0.138011882962811,-0.480963441156562,0.0255838152567162,11,0.286159157206545,0.387578215459227,"Tested",0.127919076283581
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate_polar","Coldhouse","Warmhouse",4,11,-0.531622742017106,-0.173757822226257,-0.357864919790849,0.0513420578218173,9,0.334067267495526,0.317013352684483,"Tested",0.148257995822485
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate_polar","Coldhouse","Hothouse",4,5,-0.531622742017106,0.138011882962811,-0.669634624979917,0.0889547974934913,4,0.334067267495526,0.387578215459227,"Tested",0.148257995822485
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate_polar","Transitional","Warmhouse",6,11,-0.425223557754074,-0.173757822226257,-0.251465735527817,0.0725161267893411,18,0.420226237466484,0.317013352684483,"Tested",0.148257995822485
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate_polar","Transitional","Hothouse",6,5,-0.425223557754074,0.138011882962811,-0.563235440716885,0.0854517601153987,7,0.420226237466484,0.387578215459227,"Tested",0.148257995822485
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate_polar","Warmhouse","Hothouse",11,5,-0.173757822226257,0.138011882962811,-0.311769705189068,0.153960494739779,18,0.317013352684483,0.387578215459227,"Tested",0.219943563913969
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate_polar","Coldhouse","Coolhouse",4,12,-0.531622742017106,-0.342951558193752,-0.188671183823354,0.292634313471268,19,0.334067267495526,0.286159157206545,"Tested",0.365792891839086
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate_polar","Coldhouse","Transitional",4,6,-0.531622742017106,-0.425223557754074,-0.106399184263032,0.374559566500298,10,0.334067267495526,0.420226237466484,"Tested",0.416177296111442
"percentile_latbin_OLS","q90","collection5_k2_tropical_temperate_polar","Coolhouse","Transitional",12,6,-0.342951558193752,-0.425223557754074,0.0822719995603224,0.555862732795434,37,0.286159157206545,0.420226237466484,"Tested",0.555862732795434
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate","Coolhouse","Hothouse",11,8,-0.282627065067526,0.104205228461765,-0.386832293529292,0.00168764611828643,8,0.424984956903478,0.478881157217049,"Tested",0.0168764611828643
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate","Coldhouse","Warmhouse",5,11,-0.612016380414746,-0.207970718704109,-0.404045661710637,0.0117328957765596,7,0.289210130178309,0.361878413824833,"Tested",0.042236049229587
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate","Coldhouse","Hothouse",5,8,-0.612016380414746,0.104205228461765,-0.716221608876512,0.0168944196918348,5,0.289210130178309,0.478881157217049,"Tested",0.042236049229587
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate","Coolhouse","Warmhouse",11,11,-0.282627065067526,-0.207970718704109,-0.0746563463634174,0.0151195105080743,27,0.424984956903478,0.361878413824833,"Tested",0.042236049229587
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate","Coolhouse","Transitional",11,12,-0.282627065067526,0.17576580771102,-0.458392872778547,0.0397106490731382,37,0.424984956903478,0.784514037450551,"Tested",0.0794212981462765
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate","Coldhouse","Transitional",5,12,-0.612016380414746,0.17576580771102,-0.787782188125766,0.051145862337451,14,0.289210130178309,0.784514037450551,"Tested",0.0852431038957516
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate","Warmhouse","Hothouse",11,8,-0.207970718704109,0.104205228461765,-0.312175947165874,0.151000100270567,31,0.361878413824833,0.478881157217049,"Tested",0.215714428957953
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate","Coldhouse","Coolhouse",5,11,-0.612016380414746,-0.282627065067526,-0.32938931534722,0.285546952436498,22,0.289210130178309,0.424984956903478,"Tested",0.317274391596109
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate","Transitional","Hothouse",12,8,0.17576580771102,0.104205228461765,0.0715605792492546,0.281416876958663,40,0.784514037450551,0.478881157217049,"Tested",0.317274391596109
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate","Transitional","Warmhouse",12,11,0.17576580771102,-0.207970718704109,0.383736526415129,0.487725337292179,65,0.784514037450551,0.361878413824833,"Tested",0.487725337292179
"percentile_latbin_OLS","q90","collection5_k3_tropical_temperate_polar","Coldhouse","Warmhouse",2,6,-0.59583416870862,-0.15908050385069,-0.43675366485793,0.0333765075848173,0,0.144605065089154,0.259437321724378,"Tested",0.333765075848173
